Country,Code,Code 3digit,Mask wearing,Sources and comments,Gatherings limited to 1000 people or less,Sources and comments,Gatherings limited to 100 people or less,Sources and comments,Gatherings limited to 10 people or less,Sources and comments,Some businesses closed,Sources and comments,Most nonessential businesses closed,Sources and comments,Schools closed,Sources and comments,Stay-at-home order,Sources and comments
Estonia,EE,EST,no,,13.03.2020,"Source: https://news.err.ee/1063224/estonian-government-declares-emergency-situation-against-coronavirus

Archive: https://web.archive.org/save/https://news.err.ee/1063224/estonian-government-declares-emergency-situation-against-coronavirus

Quote: All public gatherings are banned.



Source 2: https://www.euractiv.com/section/coronavirus/short_news/estonia-update-covid-19/

Quote: Gatherings of more than two people are prohibited in public spaces",13.03.2020,"Source: https://news.err.ee/1063224/estonian-government-declares-emergency-situation-against-coronavirus

Archive: https://web.archive.org/save/https://news.err.ee/1063224/estonian-government-declares-emergency-situation-against-coronavirus

Quote: All public gatherings are banned.



Source 2: https://www.euractiv.com/section/coronavirus/short_news/estonia-update-covid-19/

Quote: Gatherings of more than two people are prohibited in public spaces",13.03.2020,"Source: https://news.err.ee/1063224/estonian-government-declares-emergency-situation-against-coronavirus

Archive: https://web.archive.org/save/https://news.err.ee/1063224/estonian-government-declares-emergency-situation-against-coronavirus

Quote: All public gatherings are banned.



Source 2: https://www.euractiv.com/section/coronavirus/short_news/estonia-update-covid-19/

Quote: Gatherings of more than two people are prohibited in public spaces",14.03.2020,"Source: https://news.err.ee/1064046/gyms-spas-pools-saunas-ordered-to-close

Archive: https://web.archive.org/save/https://news.err.ee/1064046/gyms-spas-pools-saunas-ordered-to-close


Source 2: Wikipedia contributors. (2020, May 6). COVID-19 pandemic in Estonia. In Wikipedia, The Free Encyclopedia. Retrieved 15:34, May 7, 2020, from https://en.wikipedia.org/w/index.php?title=COVID-19_pandemic_in_Estonia&oldid=955168249

Quote: Operating bans were extended to recreation and leisure establishments, ordering sports halls and clubs, gyms, pools, aqua centers, saunas, daycares, and children's playrooms to be closed immediately.",no,,16.03.2020,"https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_Estonia

https://web.archive.org/web/20200409103217/https://news.err.ee/1063224/estonian-government-declares-emergency-situation-against-coronavirus",no,
Spain,ES,ESP,31.03.2020,survey result,14.03.2020,Archive: https://web.archive.org/save/https://english.elpais.com/society/2020-03-15/spains-state-of-alarm-the-key-measures-that-are-now-in-place.html,14.03.2020,Archive: https://web.archive.org/save/https://english.elpais.com/society/2020-03-15/spains-state-of-alarm-the-key-measures-that-are-now-in-place.html,14.03.2020,Archive: https://web.archive.org/save/https://english.elpais.com/society/2020-03-15/spains-state-of-alarm-the-key-measures-that-are-now-in-place.html,14.03.2020,Archive: https://web.archive.org/save/https://english.elpais.com/society/2020-03-15/spains-state-of-alarm-the-key-measures-that-are-now-in-place.html,14.03.2020,Archive: https://web.archive.org/save/https://english.elpais.com/society/2020-03-15/spains-state-of-alarm-the-key-measures-that-are-now-in-place.html,12.03.2020,"https://en.wikipedia.org/wiki/COVID-19_pandemic_in_Spain#cite_note-267

On 12 March, the regional governments of Murcia, Galicia, Catalonia, the Basque Country, Asturias, Aragon, Canary Islands, Castile-La Mancha, Navarre, Extremadura, Balearic Islands, Cantabria and the city of Melilla suspend classes at all educational levels in their respective regions,[260][261][262][263][264][265][266][267][268][excessive citations]making a total of 14 out of 17 autonomous communities and one of the autonomous cities with school closures.[269] More than ten million students (a million university and nine million in secondary and primary education) were ordered to stay home, initially for two weeks.[94]",14.03.2020,Archive: https://web.archive.org/save/https://english.elpais.com/society/2020-03-15/spains-state-of-alarm-the-key-measures-that-are-now-in-place.html
Finland,FI,FIN,no,,17.03.2020,"https://valtioneuvosto.fi/en/information-on-coronavirus/current-restrictions

All public events, meetings and gatherings with more than 10 attendees, whether indoors or outdoors, are prohibited.


The above is part of the decree from 16.03.


https://www.foreigner.fi/articulo/coronavirus/finland-armored-against-coronavirus/20200316184156004828.html

Seems like this was announced on the 16th and officialy in place on the 18th. Probably people already followed it before it was officially legally mandated. I'm going to use the 17th for good measure. Archive source: https://web.archive.org/save/https://valtioneuvosto.fi/en/information-on-coronavirus/current-restrictions",17.03.2020,"https://valtioneuvosto.fi/en/information-on-coronavirus/current-restrictions

All public events, meetings and gatherings with more than 10 attendees, whether indoors or outdoors, are prohibited.


The above is part of the decree from 16.03.


https://www.foreigner.fi/articulo/coronavirus/finland-armored-against-coronavirus/20200316184156004828.html

Seems like this was announced on the 16th and officialy in place on the 18th. Probably people already followed it before it was officially legally mandated. I'm going to use the 17th for good measure. Archive source: https://web.archive.org/save/https://valtioneuvosto.fi/en/information-on-coronavirus/current-restrictions",17.03.2020,"https://valtioneuvosto.fi/en/information-on-coronavirus/current-restrictions

All public events, meetings and gatherings with more than 10 attendees, whether indoors or outdoors, are prohibited.


The above is part of the decree from 16.03.


https://www.foreigner.fi/articulo/coronavirus/finland-armored-against-coronavirus/20200316184156004828.html

Seems like this was announced on the 16th and officialy in place on the 18th. Probably people already followed it before it was officially legally mandated. I'm going to use the 17th for good measure. Archive source: https://web.archive.org/save/https://valtioneuvosto.fi/en/information-on-coronavirus/current-restrictions",04.04.2020,"All restaurants, cafés and bars must be closed everywhere in Finland starting at midnight on Friday, 3 April. They will remain closed to customers from Saturday 4 April to 31 May 2020. Closure is necessary to prevent the spread of the coronavirus.
Sources:
https://tem.fi/en/article/-/asset_publisher/1410877/ravintolat-sulkeutuvat-koko-maassa-perjantaina-puolen-yon-aikaan-koronavirusepidemian-vuoksi


https://vnk.fi/en/article/-/asset_publisher/10616/ravitsemisliikkeiden-toimintaa-rajoitetaan-ja-valmiuslain-mukaisia-toimivaltuuksia-jatketaan
Archive Source: https://web.archive.org/save/https://tem.fi/en/article/-/asset_publisher/1410877/ravintolat-sulkeutuvat-koko-maassa-perjantaina-puolen-yon-aikaan-koronavirusepidemian-vuoksi",no,,16.03.2020,https://web.archive.org/web/20200317043335/https://yle.fi/uutiset/osasto/news/finland_closes_schools_declares_state_of_emergency_over_coronavirus/11260062,no,
France,FR,FRA,no,,08.03.2020,Archive: https://web.archive.org/save/https://www.lefigaro.fr/sciences/2020/03/08/01008-20200308LIVWWW00001-coronavirus-chine-france-coree-iran-macron-veran-oms-italie-covid-19.php,13.03.2020,Archive: https://web.archive.org/web/20200425103103/https://www.hollywoodreporter.com/news/france-bans-100-person-gatherings-coronavirus-outbreak-1284472,17.03.2020,"Implied from date of full lockdown, Archive: https://web.archive.org/save/https://www.france24.com/en/20200317-french-lockdown-comes-into-force-in-bid-to-curtail-spread-of-deadly-virus",14.03.2020,Archive: https://web.archive.org/save/https://www.france24.com/en/20200314-coronavirus-in-france-prime-minister-announces-closure-of-cafes-shops-restaurants-and-cinemas,14.03.2020,Archive: https://web.archive.org/save/http://www.leparisien.fr/societe/coronavirus-edouard-philippe-annonce-la-fermeture-des-lieux-publics-non-essentiels-14-03-2020-8280051.php,16.03.2020,https://web.archive.org/web/20200318204418/https://www.politico.eu/article/macron-orders-closure-of-french-schools-universities-due-to-coronavirus/,17.03.2020,"Source: https://www.sidley.com/-/media/uploads/stay-at-home-tracker_europe.pdf

Archive: https://web.archive.org/save/https://www.sidley.com/-/media/uploads/stay-at-home-tracker_europe.pdf


Quote: 17 March 2020
(Decree no.
2020-260)

 (Decree no.
2020-260 dated 16 March 2020 relating to Restrictions on Movement in the
context of the Fight against the Spread of the COVID-19 Virus)"
United Kingdom of Great Britain and Northern Ireland (the),GB,GBR,no,,23.03.2020,Archive: https://archive.vn/VnrbU,23.03.2020,Archive: https://archive.vn/VnrbU,23.03.2020,Archive: https://archive.vn/VnrbU,21.03.2020,https://web.archive.org/web/20200323004800/http://www.legislation.gov.uk/uksi/2020/327/pdfs/uksi_20200327_en.pdf,23.03.2020,Archive: https://archive.vn/VnrbU,20.03.2020,https://web.archive.org/web/20200320115812/https://www.theguardian.com/world/2020/mar/18/coronavirus-school-colleges-nurseries-england-close-uk-friday,23.03.2020,Archive: https://archive.vn/VnrbU
Georgia,GE,GEO,no,,21.03.2020,https://web.archive.org/save/https://stopcov.ge/Content/files/en-Restrictions-and-Permissions.pdf,21.03.2020,https://web.archive.org/save/https://stopcov.ge/Content/files/en-Restrictions-and-Permissions.pdf,21.03.2020,https://web.archive.org/save/https://stopcov.ge/Content/files/en-Restrictions-and-Permissions.pdf,19.03.2020,Archive source: https://web.archive.org/save/https://civil.ge/archives/349213,19.03.2020,Archive source: https://web.archive.org/save/https://civil.ge/archives/349213,29.02.2020,https://en.wikipedia.org/wiki/COVID-19_pandemic_in_Georgia_(country),no,
Greece,GR,GRC,no,,09.03.2020,Archive: https://web.archive.org/save/https://www.iefimerida.gr/ellada/koronoios-ta-nea-metra-tis-kybernisis,19.03.2020,Archive: https://web.archive.org/save/https://www.reuters.com/article/us-health-coronavirus-greece/greece-bans-gatherings-of-10-people-and-more-effective-thursday-idUSKBN2152YH,19.03.2020,Archive: https://web.archive.org/save/https://www.reuters.com/article/us-health-coronavirus-greece/greece-bans-gatherings-of-10-people-and-more-effective-thursday-idUSKBN2152YH,13.03.2020,Archive: https://web.archive.org/save/https://www.ekathimerini.com/250618/article/ekathimerini/news/malls-cafes-bars-eateries-to-close-as-coronavirus-cases-rise-to-190,13.03.2020,Archive: https://web.archive.org/save/https://www.ekathimerini.com/250618/article/ekathimerini/news/malls-cafes-bars-eateries-to-close-as-coronavirus-cases-rise-to-190,10.03.2020,"https://en.wikipedia.org/wiki/COVID-19_pandemic_in_Greece

https://web.archive.org/web/20200328201422/https://www.kathimerini.gr/1068505/article/epikairothta/ellada/kleinoyn-gia-dyo-evdomades-sxoleia-panepisthmia-paidikoi-sta8moi-kai-frontisthria",23.03.2020,"https://www.sidley.com/-/media/uploads/stay-at-home-tracker_europe.pdf  Archive: https://web.archive.org/save/https://www.sidley.com/-/media/uploads/stay-at-home-tracker_europe.pdf

23 March 2020
(Joint Ministerial Decision of 22
March)

Joint Ministerial Decision No. “Δ1 α/Γ.Ποικ 20036/2020” of 22 March 2020
issued by the Ministers of Citizens’ Protection, Health, and Foreign Affairs,
further to the authorization of Article 68(3) of the Legislative Act of Government
of 20 March 2020 (ΦΕΚ 68/Α/20-3-2020)"
Croatia,HR,HRV,no,,12.03.2020,"Ban on greater than 100 , Archive: https://web.archive.org/save/https://www.total-croatia-news.com/news/42072-covid-19-update",12.03.2020,"Ban on greater than 100 , Archive: https://web.archive.org/save/https://www.total-croatia-news.com/news/42072-covid-19-update",19.03.2020,"there is a prohibition on holding any public events and gatherings of more than five (5) persons in one place.
https://home.kpmg/xx/en/home/insights/2020/03/flash-alert-2020-101.html   Archive: https://web.archive.org/save/https://home.kpmg/xx/en/home/insights/2020/03/flash-alert-2020-101.html",18.03.2020,"https://www.total-croatia-news.com/news/42223-covid-19

Archive: https://web.archive.org/save/https://www.total-croatia-news.com/news/42223-covid-19",18.03.2020,"https://www.total-croatia-news.com/news/42223-covid-19

Archive: https://web.archive.org/save/https://www.total-croatia-news.com/news/42223-covid-19",16.03.2020,"https://web.archive.org/web/20200319211547/https://www.vecernji.hr/vijesti/plenkovic-hrvatska-i-svijet-u-ratu-su-protiv-virusa-i-panike-1385524

https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_Croatia",no,
Hungary,HU,HUN,no,,11.03.2020,"Quote: On 11 March, the Hungarian government declared a state of emergency. While these periods usually last for 15 days (after which the state of emergency must be renewed by Parliament), Minister of the Prime Minister's Office Gergely Gulyás stated the measures may be in force indefinitely,[68][69] as ""there is a consensus that the length of this period may be not only weeks, but months.""[70] Public gatherings in an enclosed space with more than 100 people were prohibited, sporting events that could attract more than 500 spectators must be held behind closed doors, and foreign exchange programs were suspended. Universities were ordered to suspend in-person classes and switch to online courses.[71][72][73]


Source: https://www.origo.hu/itthon/percrolpercre/20200311-koronavirus-operativ-torzs-tajekoztato.html

Archive: https://web.archive.org/save/https://www.origo.hu/itthon/percrolpercre/20200311-koronavirus-operativ-torzs-tajekoztato.html",11.03.2020,"Quote: On 11 March, the Hungarian government declared a state of emergency. While these periods usually last for 15 days (after which the state of emergency must be renewed by Parliament), Minister of the Prime Minister's Office Gergely Gulyás stated the measures may be in force indefinitely,[68][69] as ""there is a consensus that the length of this period may be not only weeks, but months.""[70] Public gatherings in an enclosed space with more than 100 people were prohibited, sporting events that could attract more than 500 spectators must be held behind closed doors, and foreign exchange programs were suspended. Universities were ordered to suspend in-person classes and switch to online courses.[71][72][73]


Source: https://www.origo.hu/itthon/percrolpercre/20200311-koronavirus-operativ-torzs-tajekoztato.html

Archive: https://web.archive.org/save/https://www.origo.hu/itthon/percrolpercre/20200311-koronavirus-operativ-torzs-tajekoztato.html",16.03.2020,"Quote: (government website)
5) The organization of indoor and outdoor events and meetings is prohibited, regardless of the number of people. The only exceptions to this are rituals of religious communities, civil marriages, and funerals.

Source: https://koronavirus.gov.hu/cikkek/kormany-kihirdette-az-ujabb-rendkivuli-es-csoportosulasokat-korlatozo-intezkedeseket

Archive: https://web.archive.org/save/https://koronavirus.gov.hu/cikkek/kormany-kihirdette-az-ujabb-rendkivuli-es-csoportosulasokat-korlatozo-intezkedeseket",16.03.2020,"Quote: 7) It is forbidden to visit e.g. theaters, dance and music events, cinemas, museums, libraries, public cultural institutions, etc. Only those employed there may stay.

Source: https://koronavirus.gov.hu/cikkek/kormany-kihirdette-az-ujabb-rendkivuli-es-csoportosulasokat-korlatozo-intezkedeseket

Archive:https://web.archive.org/save/https://koronavirus.gov.hu/cikkek/kormany-kihirdette-az-ujabb-rendkivuli-es-csoportosulasokat-korlatozo-intezkedeseket",no,,16.03.2020,"https://web.archive.org/web/20200319121129/http://abouthungary.hu/news-in-brief/coronavirus-heres-the-latest/

https://web.archive.org/web/20200315141902/https://index.hu/belfold/2020/03/14/hetfotol_fokozatosan_bezarnak_a_fovarosi_ovodak/

",28.03.2020,"Source 1: https://www.euractiv.com/section/coronavirus/short_news/hungary-update-covid-19/

Archive: https://web.archive.org/save/https://www.euractiv.com/section/coronavirus/short_news/hungary-update-covid-19/

Quote: The government announced the imposition of a curfew starting on 28 March.

Leaving residences became only allowed for work and broadly defined basic needs, including groceries, going to drugstores, pharmacies, the hairdresser, using health services, veterinary visits, outdoor walks and running.

Source 2: https://www.kormany.hu/en/the-prime-minister/news/restrictions-on-movement-to-be-imposed-in-hungary

Restrictions on movement are being imposed in relation to the entire territory of the country for the period between 28 March and 11 April. For two weeks, citizens will only be allowed to leave their homes and places of residence for the purpose of going to work or meeting other essential needs"
Ireland,IE,IRL,no,,12.03.2020,Archive: https://web.archive.org/save/https://www.irishtimes.com/news/health/coronavirus-how-it-has-affected-ireland-day-by-day-1.4206691],12.03.2020,Archive: https://web.archive.org/save/https://www.irishtimes.com/news/health/coronavirus-how-it-has-affected-ireland-day-by-day-1.4206691],24.03.2020,"Quote: Social gatherings of individuals outdoors should be of no more than 4, unless you are all from same household. Archive: https://web.archive.org/save/https://www.gov.ie/en/speech/d162df-speech-of-an-taoiseach-leo-varadkar-td-post-cabinet-statement-tuesda/",16.03.2020,Archive: https://web.archive.org/save/https://www.dublinlive.ie/news/dublin-news/coronavirus-latest-government-orders-pubs-17928776,25.03.2020,Archive: https://web.archive.org/save/https://www.thejournal.ie/coronavirus-new-measures-5055686-Mar2020/,12.03.2020,https://web.archive.org/web/20200312224839/https://www.irishtimes.com/news/health/coronavirus-schools-colleges-and-childcare-facilities-in-ireland-to-shut-1.4200977,28.03.2020,Archive: https://web.archive.org/save/https://www.gov.ie/en/speech/f27026-speech-of-an-taoiseach-leo-varadkar-td-government-buildings-27-march/
Israel,IL,ISR,12.04.2020,"https://www.reuters.com/article/us-health-coronavirus-israel/israelis-told-to-wear-face-masks-in-public-mark-religious-holidays-with-close-family-only-idUSKBN21J6KZ

https://www.timesofisrael.com/israelis-will-be-required-to-wear-face-masks-outdoors-under-new-order/",11.03.2020,Archive: https://web.archive.org/save/https://www.jpost.com/Israel-News/Coronavirus-cases-climb-to-77-second-case-of-unknown-origin-confirmed-620578,11.03.2020,Archive: https://web.archive.org/save/https://www.jpost.com/Israel-News/Coronavirus-cases-climb-to-77-second-case-of-unknown-origin-confirmed-620578,15.03.2020,Archive: https://web.archive.org/save/https://www.timesofisrael.com/no-more-daycare-restaurants-gyms-or-prayer-quorums-the-new-virus-regulations/,15.03.2020,Archive: https://web.archive.org/save/https://www.bloomberg.com/news/articles/2020-03-14/israel-orders-partial-shutdown-of-economy-in-fight-against-virus,15.03.2020,Archive: https://web.archive.org/save/https://www.bloomberg.com/news/articles/2020-03-14/israel-orders-partial-shutdown-of-economy-in-fight-against-virus,15.03.2020,"https://en.wikipedia.org/wiki/COVID-19_pandemic_in_Israel

https://web.archive.org/web/20200315143427/https://www.jpost.com/HEALTH-SCIENCE/Coronavirus-Teachers-Union-calls-on-Education-Ministry-to-shutter-schools-620688",no,
Iceland,IS,ISL,no,,16.03.2020,"Quote: public gatherings of more than 100 would be banned

Source: 
https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_Iceland#March_2020

Archive: https://web.archive.org/save/https://www.ruv.is/frett/samkomubanni-verdur-komid-a-og-skolastarf-takmarkad",16.03.2020,"Quote: public gatherings of more than 100 would be banned

Source: 
Wikipedia contributors. (2020, May 7). COVID-19 pandemic in Iceland. In Wikipedia, The Free Encyclopedia. Retrieved 17:46, May 7, 2020, from https://en.wikipedia.org/w/index.php?title=COVID-19_pandemic_in_Iceland&oldid=955380807
Archive: https://web.archive.org/save/https://www.ruv.is/frett/samkomubanni-verdur-komid-a-og-skolastarf-takmarkad",no,,24.03.2020,"Source: Wikipedia contributors. (2020, May 7). COVID-19 pandemic in Iceland. In Wikipedia, The Free Encyclopedia. Retrieved 17:46, May 7, 2020, from https://en.wikipedia.org/w/index.php?title=COVID-19_pandemic_in_Iceland&oldid=955380807

Archive: https://web.archive.org/save/https://www.ruv.is/frett/hert-samkomubann-ekki-fleiri-en-20-mega-koma-saman

Quote: From 00:00 on 24 March, a nation-wide ban on public assemblies over 20 took effect. All swimming pools, museums, libraries and bars closed, as did any businesses requiring a proximity of less than 2 m (hairdressers, tattoo artists, etc.).",no,,16.03.2020,https://web.archive.org/web/20200315055346/https://www.ruv.is/frett/samkomubanni-verdur-komid-a-og-skolastarf-takmarkad,no,
Italy,IT,ITA,no,,10.03.2020,"Quote: ban on public gatherings, to the entire country. No info on specific number of people available


Source: https://www.bbc.com/news/world-europe-51810673

Archive: https://web.archive.org/save/https://www.bbc.com/news/world-europe-51810673",10.03.2020,"Quote: ban on public gatherings, to the entire country. No info on specific number of people available


Source: https://www.bbc.com/news/world-europe-51810673

Archive: https://web.archive.org/save/https://www.bbc.com/news/world-europe-51810673",10.03.2020,"Quote: ban on public gatherings, to the entire country. No info on specific number of people available


Source: https://www.bbc.com/news/world-europe-51810673

Archive: https://web.archive.org/save/https://www.bbc.com/news/world-europe-51810673",11.03.2020,"Quote: 11 March 2020, Conte prohibited nearly all commercial activity except for supermarkets and pharmacies

Source 1:https://web.archive.org/save/https://www.washingtonpost.com/gdpr-consent/?next_url=https%3a%2f%2fwww.washingtonpost.com%2fworld%2feurope%2fmerkel-coronavirus-germany%2f2020%2f03%2f11%2fe276252a-6399-11ea-8a8e-5c5336b32760_story.html

Source 2:https://web.archive.org/save/https://www.wsj.com/articles/italy-hardens-nationwide-quarantine-11583962093
",11.03.2020,"Quote: 11 March 2020, Conte prohibited nearly all commercial activity except for supermarkets and pharmacies

Source 1:https://web.archive.org/save/https://www.washingtonpost.com/gdpr-consent/?next_url=https%3a%2f%2fwww.washingtonpost.com%2fworld%2feurope%2fmerkel-coronavirus-germany%2f2020%2f03%2f11%2fe276252a-6399-11ea-8a8e-5c5336b32760_story.html

Source 2:https://web.archive.org/save/https://www.wsj.com/articles/italy-hardens-nationwide-quarantine-11583962093
",05.03.2020,"https://web.archive.org/web/20200305125317/https://www.corriere.it/scuola/20_marzo_04/coronavirus-scuole-chiuse-tutta-italia-decisione-governo-entro-stasera-e7ba0614-5e12-11ea-8e26-25d9a5210d01.shtml

https://en.wikipedia.org/wiki/COVID-19_pandemic_in_Italy",10.03.2020,"https://www.sidley.com/-/media/uploads/stay-at-home-tracker_europe.pdf , Archive: https://web.archive.org/save/https://www.sidley.com/-/media/uploads/stay-at-home-tracker_europe.pdf


Decree issued by the President of the Council of Ministers on 9 March 2020,
available here), extended/expanded by decrees issued by the President of the
Council of Ministers on 1 April 2020 (available here), 10 April 2020 (available
here) and 26 April 2020 (available here)."
Lithuania,LT,LTU,10.04.2020,"https://www.lrt.lt/en/news-in-english/19/1161456/lithuanian-government-extends-quarantine-makes-facemasks-mandatory

https://en.wikipedia.org/wiki/COVID-19_pandemic_in_Lithuania",12.03.2020,Archive: https://web.archive.org/web/20200507181242/https://www.reuters.com/article/us-health-coronavirus-lithuania/lithuania-and-latvia-close-schools-ban-large-public-gatherings-over-coronavirus-idUSKBN20Z25W,12.03.2020,Archive: https://web.archive.org/web/20200507181242/https://www.reuters.com/article/us-health-coronavirus-lithuania/lithuania-and-latvia-close-schools-ban-large-public-gatherings-over-coronavirus-idUSKBN20Z25W,16.03.2020,"Public gatherings of any size banned, but does not concern private gatherings  Quote:The Lithuanian government initially declared quarantine from 16 March to 30 March, but it was extended several time

Archive: https://web.archive.org/save/https://www.lrt.lt/naujienos/lietuvoje/2/1154974/po-sprendimo-pratesti-karantina-skvernelio-zinia-jeigu-busime-neatsakingi-baigsime-kaip-italijoje",16.03.2020,"Quote:The Lithuanian government initially declared quarantine from 16 March to 30 March, but it was extended several time

Archive: https://web.archive.org/save/https://www.lrt.lt/naujienos/lietuvoje/2/1154974/po-sprendimo-pratesti-karantina-skvernelio-zinia-jeigu-busime-neatsakingi-baigsime-kaip-italijoje",16.03.2020,"Quote:The Lithuanian government initially declared quarantine from 16 March to 30 March, but it was extended several time

Archive: https://web.archive.org/save/https://www.lrt.lt/naujienos/lietuvoje/2/1154974/po-sprendimo-pratesti-karantina-skvernelio-zinia-jeigu-busime-neatsakingi-baigsime-kaip-italijoje",13.03.2020,https://web.archive.org/web/20200404115031/http://lrv.lt/en/news/education-institutions-are-closing-for-two-weeks-across-lithuania-due-to-coronavirus,no,
Latvia,LV,LVA,no,,14.03.2020,"Quote: A list of emergency measures took effect on 14 March.[31] On 14 March, Kariņš announced that starting 17 March international travel would be halted, however, this would not affect private travel within the European Union, returning citizens or flow of goods. Furthermore, organised public events are banned and other gatherings may not exceed 50 participants.


Source: https://eng.lsm.lv/article/society/health/latvia-to-close-borders-to-passenger-traffic-on-tuesday-17-march.a351774/

Archive: https://web.archive.org/save/https://eng.lsm.lv/article/society/health/latvia-to-close-borders-to-passenger-traffic-on-tuesday-17-march.a351774/",14.03.2020,"Quote: A list of emergency measures took effect on 14 March.[31] On 14 March, Kariņš announced that starting 17 March international travel would be halted, however, this would not affect private travel within the European Union, returning citizens or flow of goods. Furthermore, organised public events are banned and other gatherings may not exceed 50 participants.


Source: https://eng.lsm.lv/article/society/health/latvia-to-close-borders-to-passenger-traffic-on-tuesday-17-march.a351774/

Archive: https://web.archive.org/save/https://eng.lsm.lv/article/society/health/latvia-to-close-borders-to-passenger-traffic-on-tuesday-17-march.a351774/",30.03.2020,"Quote 1:On 29 March, the government adopted a number of stricter regulations. Foremost, all persons must maintain a 2-meter distance and observe epidemiological safety measures in private and public events, as well as during public indoor and outdoor activities. The exception is given for 2 persons, persons living in the same household or parents and their minor children if they don't live in the same household. New restrictions also prohibit all private arrangements (except funerals), public events, meetings, processions, pickets, indoor sports and religious activities. Trading and public catering venues are still allowed to hold more persons while maintaining the 2-meter distance and observing safety measures. Various other are also adopted, such as prioritization of medical item supply for national purposes or government's right to request information from electronic communications operators on specific persons for epidemiological investigation





Quote 2: new restriction imposed by the Latvian government states that no more than two people are allowed to gather in a room of a public place. This restriction will not extend to people living in the same household, parents and their children, as well as persons performing duties associated with their profession.


Source: https://bnn-news.com/latvian-government-imposes-new-restrictions-on-public-gatherings-211892

Archive: https://web.archive.org/save/https://bnn-news.com/latvian-government-imposes-new-restrictions-on-public-gatherings-211892",12.3.2020,"Quote: Consequently food and homeware stores, garden centers, pharmacies, pet stores and opticians will be allowed to open at weekends but luxury goods stores, clothes stores and other retail outlets will shut. The aim is to reduce the numbers of people coming into contact with each other.

Source: https://eng.lsm.lv/article/economy/business/sports-centers-shopping-malls-to-close-at-weekends-in-latvia.a353097/

Archive:https://web.archive.org/save/https://eng.lsm.lv/article/economy/business/sports-centers-shopping-malls-to-close-at-weekends-in-latvia.a353097/",no,"Appear bars and  food places still open 

Source: https://www.lrt.lt/en/news-in-english/19/1167272/dispatch-from-riga-latvia-tackles-covid-19-without-hard-lockdown-or-closing-bars

Archive: https://web.archive.org/save/:%20https://www.lrt.lt/en/news-in-english/19/1167272/dispatch-from-riga-latvia-tackles-covid-19-without-hard-lockdown-or-closing-bars",13.03.2020,https://web.archive.org/web/20200318221111/https://eng.lsm.lv/article/society/health/latvian-government-announces-widespread-measures-to-contain-coronavirus.a351529/,no,"No hard lockdown


Source: https://www.lrt.lt/en/news-in-english/19/1167272/dispatch-from-riga-latvia-tackles-covid-19-without-hard-lockdown-or-closing-bars

Archive: https://web.archive.org/save/https://www.lrt.lt/en/news-in-english/19/1167272/dispatch-from-riga-latvia-tackles-covid-19-without-hard-lockdown-or-closing-bars"
